"ags","region","anteil_18_24","tooltip"
"05916","Herne (Stadt)",7.46581527347781,"Hier leben rund <b>  124 030</b> deutsche Personen, davon sind etwa <b>  9260</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,5 Prozent</b>."
"05954","Ennepe-Ruhr-Kreis",6.1828946840741,"Hier leben rund <b>  274 290</b> deutsche Personen, davon sind etwa <b> 16 960</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,2 Prozent</b>."
"05958","Hochsauerlandkreis",6.5425736748054,"Hier leben rund <b>  231 120</b> deutsche Personen, davon sind etwa <b> 15 120</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,5 Prozent</b>."
"05962","Märkischer Kreis",6.78821741900701,"Hier leben rund <b>  346 850</b> deutsche Personen, davon sind etwa <b> 23 540</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05966","Olpe",6.71800250709918,"Hier leben rund <b>  117 270</b> deutsche Personen, davon sind etwa <b>  7880</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,7 Prozent</b>."
"05970","Siegen-Wittgenstein",6.83948281299275,"Hier leben rund <b>  237 820</b> deutsche Personen, davon sind etwa <b> 16 270</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05974","Soest",6.45729248179137,"Hier leben rund <b>  265 810</b> deutsche Personen, davon sind etwa <b> 17 160</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,5 Prozent</b>."
"05978","Unna",6.33423337107685,"Hier leben rund <b>  344 430</b> deutsche Personen, davon sind etwa <b> 21 820</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"06411","Darmstadt (Stadt)",10.22220480464,"Hier leben rund <b>  127 580</b> deutsche Personen, davon sind etwa <b> 13 040</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b>10,2 Prozent</b>."
"06412","Frankfurt am Main (Stadt)",8.34057080687669,"Hier leben rund <b>  533 110</b> deutsche Personen, davon sind etwa <b> 44 460</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,3 Prozent</b>."
"06413","Offenbach am Main (Stadt)",8.78096977125205,"Hier leben rund <b>   79 960</b> deutsche Personen, davon sind etwa <b>  7020</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,8 Prozent</b>."
"06414","Wiesbaden (Stadt)",8.26137626609191,"Hier leben rund <b>  222 240</b> deutsche Personen, davon sind etwa <b> 18 360</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,3 Prozent</b>."
"06431","Bergstraße",6.13365093338166,"Hier leben rund <b>  231 740</b> deutsche Personen, davon sind etwa <b> 14 210</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"06432","Darmstadt-Dieburg",6.60614832761713,"Hier leben rund <b>  254 250</b> deutsche Personen, davon sind etwa <b> 16 800</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"06433","Groß-Gerau",7.34056416135132,"Hier leben rund <b>  204 130</b> deutsche Personen, davon sind etwa <b> 14 980</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,3 Prozent</b>."
"06434","Hochtaunuskreis",6.43878970731384,"Hier leben rund <b>  196 220</b> deutsche Personen, davon sind etwa <b> 12 630</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
