"ags","region","bevoelkerung_2024_gesamt","durchschnittsalter_2024_gesamt","bevoelkerung_18_24_deutsch","anteil_18_24_an_bevoelkerung_deutsch","wanderungssaldo_18_24_deutsch","bevoelkerung_30_49_deutsch","anteil_30_49_an_bevoelkerung_deutsch","wanderungssaldo_30_49_deutsch"
"06436","Main-Taunus-Kreis",238775,44.6938212227265,12705,6.56409355577025,-3.1595191682911,43476,22.4620646541257,0.119447555057857
"06437","Odenwaldkreis",93846,46.6623858786109,5040,6.27927838134157,-3.47530031476842,16968,21.1402372171833,0.695435092724679
"06438","Offenbach (Land)",358022,44.3090808259441,19941,7.07072497890235,-1.11968449931413,63584,22.5457588415088,0.0105054707238795
"06439","Rheingau-Taunus-Kreis",185651,46.3960747454413,10258,6.43667486571959,-3.23581135091926,34150,21.4283921489885,0.80745882831334
"06440","Wetteraukreis",311593,45.0185236551355,16909,6.40133561488256,-2.64510539994225,60803,23.0185350636764,0.690672346139664
"06531","Gießen",268418,43.0876444374164,20407,8.98594885930805,4.49200992402879,53318,23.4778664811382,-0.985408375971196
"06532","Lahn-Dill-Kreis",254074,45.1981905823424,14694,6.66035110303283,-1.56474780337738,50229,22.7673047199017,0.44630628102597
"06533","Limburg-Weilburg",173830,45.2584572525581,10094,6.72565664103623,-2.2914873952258,33368,22.2331791953732,0.274826125348493
"06534","Marburg-Biedenkopf",242805,43.675730295082,19635,9.31778707895561,3.36360085920719,48142,22.8457807769331,-0.402594964433968
"06535","Vogelsbergkreis",101163,47.2711700721247,5302,5.7604137241694,-3.40662562298446,19971,21.6977032224419,0.927631469773153
"06611","Kassel (Stadt)",197230,42.905914944213,13229,8.60333233614713,4.29767129529702,36798,23.9311681386002,-2.1842251418062
"06631","Fulda",222283,44.6189882320551,13737,7.01139217247504,-1.21998143998551,44723,22.8267083154693,0.0724442851168071
"06632","Hersfeld-Rotenburg",117414,46.4618159265155,6432,6.18182167674224,-2.7803332311152,22434,21.561409747518,0.328457563282824
"06633","Kassel (Land)",231073,46.832569296631,12218,5.84478642945642,-2.40881298756062,45836,21.9267990489904,0.965739585840682
"06634","Schwalm-Eder-Kreis",180071,46.2432732607441,9735,6.02741591956016,-2.64607162642161,36686,22.7141017385705,0.798604486358309
"06635","Waldeck-Frankenberg",155126,46.0449673211812,8616,6.25730781800356,-3.23690719432197,30055,21.8272268419333,0.463117211967748
"06636","Werra-Meißner-Kreis",97695,47.407867255636,5222,5.85268537613198,-2.22540421215918,19073,21.3765354613109,1.09099227507083
"07111","Koblenz (Stadt)",113378,44.0079805785869,7290,7.74378585086042,3.98959236773634,23240,24.6866369237306,-2.11731170472244
"07131","Ahrweiler",129353,46.8010762157273,6806,5.87712102240836,-1.15379203602082,25603,22.1087172401882,1.17799617799618
"07132","Altenkirchen (Westerwald)",132125,45.2270256278525,7520,6.35011779806288,-2.61635220125786,27008,22.8063805172982,0.86825931675059
"07133","Bad Kreuznach",164748,45.9753450232157,8621,6.02774398344311,-2.88172976100083,31806,22.2385367286152,0.831104317921284
"07134","Birkenfeld",82611,46.2964997097641,4478,6.21374850831183,-1.93588676103247,15751,21.8563538978159,0.337996833953707
"07135","Cochem-Zell",61608,47.0432059554179,3336,6.08259640805908,-3.43885434332014,11644,21.2307411796882,0.64882400648824
"07137","Mayen-Koblenz",217228,45.3203642356706,12169,6.27769609739741,-1.91771541728549,45634,23.5414893342619,0.486953939798835
"07138","Neuwied",189061,45.151202772761,10917,6.56408961362242,-2.42782731526441,37040,22.2711257019854,0.88346265446691
"07140","Rhein-Hunsrück-Kreis",106705,45.8448253707549,5723,6.05627691884398,-2.91288815608684,21279,22.5181751801644,1.10202063697112
"07141","Rhein-Lahn-Kreis",125588,46.060332751787,6638,5.96256108077034,-2.7813868437515,25158,22.5980885311871,1.30361364403918
"07143","Westerwaldkreis",207803,45.1852508009402,11592,6.26029476094552,-3.05493964030549,43262,23.3637743226385,0.884664251094066
"07211","Trier (Stadt)",104342,42.6684961255758,7715,9.09198043721643,3.68936460942838,21096,24.8612338695422,-2.07720854017061
"07231","Bernkastel-Wittlich",113187,46.1149798946875,5872,5.99000306028767,-3.2081251007577,21614,22.0483525451392,0.729478614758504
"07232","Bitburg-Prüm",99788,44.672181828532,5078,6.1444266976429,-2.54264155728869,19148,23.1692560863463,0.720691864189622
"07233","Vulkaneifel",59313,47.0413126205063,3033,5.6854181116089,-3.07314678448699,11712,21.9543741916134,0.876962969437403
"07235","Trier-Saarburg",148953,45.1580807939822,7512,5.8524728099972,-3.25801592425221,30062,23.4207984044377,0.865930459464254
"07311","Frankenthal (Pfalz) (Stadt)",48140,44.9893305114532,2442,6.47041678810842,-1.68940870695257,8202,21.7323335364723,-0.953424212917884
"07312","Kaiserslautern (Stadt)",100426,43.6468144306073,6133,7.82959492410412,2.56410256410256,17874,22.8185520419757,-2.03938515191145
"07313","Landau in der Pfalz (Stadt)",48209,43.3193133337934,3899,9.29506281736477,5.12641538700171,9864,23.5153884663981,-0.475787692958342
"07314","Ludwigshafen am Rhein (Stadt)",177222,42.2472112059009,9637,7.87825774173506,-0.112994350282486,26931,22.0161211209575,-1.47857831825452
"07315","Mainz (Stadt)",224684,41.6013872460573,18950,10.4773120580316,9.53799545569301,47295,26.1490487485279,-2.21008612244301
"07316","Neustadt an der Weinstraße (Stadt)",52945,46.4157000290417,2702,5.89338684348281,-2.69802836388793,9877,21.5429244459955,0.472813238770686
"07317","Pirmasens (Stadt)",39761,46.0330520053457,2050,6.18457175611669,0.236721408492381,6981,21.0607294777808,-0.364376301343933
"07318","Speyer (Stadt)",49564,46.1105690112716,2562,6.22494350900211,-2.6417445482866,8969,21.7921617221858,-0.399268629426471
"07319","Worms (Stadt)",86753,43.4130738057719,4916,7.26574046704109,-1.34403072070219,15331,22.6588826485368,-0.733835779452598
"07320","Zweibrücken (Stadt)",33323,45.7009690769984,1895,6.50733147900141,-0.893010475699811,6695,22.9902819271316,0.113642233586446
"07331","Alzey-Worms",131238,44.8038257765944,7174,6.15783420027124,-3.33729582177608,27120,23.278570324973,1.27561846276742
"07332","Bad Dürkheim",134329,47.2035537017655,6519,5.4023369520179,-4.29623171558655,26357,21.8422143034723,1.54352161189237
"07333","Donnersbergkreis",74783,45.9917700022229,4204,6.23683351630419,-3.86963878466858,15097,22.3971159837403,1.08767741079719
"07334","Germersheim",131383,44.5208295499966,7277,6.44866852762639,-2.56342494714588,26299,23.3054189374806,0.755782884189633
"07335","Kaiserslautern (Land)",106343,45.0379609689944,5682,6.0419812424236,-3.62057667103539,21506,22.8685055613449,0.395716945996276
"07336","Kusel",69334,46.8129119937616,3712,5.82612653618571,-2.82833461505597,14081,22.1006701928963,0.793250162255715
"07337","Südliche Weinstraße",113031,46.6325258387921,5823,5.67837186850907,-3.0702468131272,22941,22.3712053985002,1.32137731019073
"07338","Rhein-Pfalz-Kreis",155882,45.7882352711732,7835,5.71388982074357,-3.17069163791687,30891,22.5281136506177,1.04251330233969
"07339","Mainz-Bingen",206454,45.3247349898472,11079,6.10938327157226,-3.90634089586969,41372,22.814099170637,1.08948910916811
"07340","Südwestpfalz",89974,48.1007426221388,4485,5.30825768425039,-3.45918298674204,18442,21.8271768590738,1.07021094277015
"08111","Stuttgart (Stadt)",612663,42.4206354459791,38663,8.69056048192229,4.46439227320001,117215,26.3472582802297,-3.05981228454241
"08115","Böblingen",395167,43.6825458748652,21868,6.9764177428411,-2.26500905105995,73394,23.4144505129907,-0.363294962854111
"08116","Esslingen",536601,44.2208730695685,30968,7.18465072036749,-0.802285617896978,98922,22.9501426814839,-0.187182847733306
"08117","Göppingen",258809,44.6609456213419,14690,7.04218600191755,-2.00915058683111,45817,21.964046021093,0.260215670275873
"08118","Ludwigsburg",535374,43.8371285340951,29628,6.93849544154807,-1.61715513612902,99516,23.3053635871843,-0.231852683344024
"08119","Rems-Murr-Kreis",440696,44.6283991219077,25221,7.00596956051923,-2.05305651672434,80940,22.4837705177601,0.383838132347388
"08121","Heilbronn (Stadt)",131986,42.0783728096084,7797,8.5123804532949,0.777578398701188,21270,23.2215380584305,-1.79587846680226
"08125","Heilbronn (Land)",353877,43.7314466523749,19958,6.77750837085787,-2.04022850559263,69132,23.4764359502027,0.566860323669946
"08126","Hohenlohekreis",115644,43.8743525777937,6921,6.97161391703769,-1.9304152637486,23073,23.2417349960715,0.380537400145243
"08127","Schwäbisch Hall",200902,43.5564770397984,11615,6.81683461766449,-2.24811289793239,40283,23.6420618943934,0.33665814579052
"08128","Main-Tauber-Kreis",133169,45.8173850617127,7520,6.45504643856547,-2.72899661967186,25603,21.9772013253446,0.628709778194314
"08135","Heidenheim",135235,44.7528398974712,7455,6.79277259929475,-2.70350944522622,24521,22.3428003899808,0.418863985937157
"08136","Ostalbkreis",317427,44.3651437663437,19904,7.21876065369244,-2.08041794943558,63294,22.9553977499402,0.357360945174565
"08211","Baden-Baden (Stadt)",56881,47.6569492704529,2509,5.86406768569158,-2.38188207731355,8426,19.6933576403496,-0.0549925367271585
"08212","Karlsruhe (Stadt)",309050,42.9904074465077,24336,9.91170049851748,6.84359741691605,59255,24.133703691636,-2.0345134638578
"08215","Karlsruhe (Land)",456264,45.0871829248322,24577,6.40162743085763,-2.40820125588285,87696,22.8423777994259,0.733862513104688
"08216","Rastatt",230737,45.4546982574043,12149,6.33972228165295,-3.16650977931179,42538,22.1976381938393,0.430555226987769
"08221","Heidelberg (Stadt)",155756,40.0369588720611,17137,14.0920005262812,8.54176055280156,29334,24.1217683047168,-2.6252207043955
"08222","Mannheim (Stadt)",318035,42.4622362551824,22885,9.94848609994131,5.32345505823214,55552,24.1493685743474,-1.97987903103249
"08225","Neckar-Odenwald-Kreis",145263,45.4699256332698,8639,6.79369623000582,-3.21681864235056,27931,21.9648951730863,0.616018888049953
"08226","Rhein-Neckar-Kreis",558561,45.1149198296371,31608,6.6445098917177,-1.6915176126559,108186,22.7424369509419,0.415608261299737
"08231","Pforzheim (Stadt)",134912,42.58405472755,7619,8.22164670335599,0.358756311453627,20080,21.6682853134779,-1.38847858197932
"08235","Calw",161251,44.5486962889606,9193,6.90434704238892,-2.70512422895344,29567,22.2061165019377,0.888355342136855
"08236","Enzkreis",199745,44.8029498136772,11193,6.58388527463737,-3.07403988699617,37754,22.2074515017117,0.778140672127929
"08237","Freudenstadt",121958,44.6087745683393,7199,6.96107060666422,-2.79646484632634,23184,22.4177609313659,0.50425785450635
"08311","Freiburg im Breisgau (Stadt)",237460,41.012631143318,21960,11.3120656882794,8.91948833709556,48878,25.1781032200238,-1.56412417474364
"08315","Breisgau-Hochschwarzwald",272558,44.9773153777045,15224,6.5130804937004,-2.67026702670267,51930,22.216518000385,1.00347153992271
"08316","Emmendingen",169787,44.6787774409276,9457,6.42725586010507,-2.58544839255499,33613,22.8443852411665,1.02802422194057
"08317","Ortenaukreis",444858,44.5270887928005,25264,6.70017105804039,-2.27318752531389,84991,22.540145598239,0.556772544724352
"08325","Rottweil",140237,44.4187683561038,7790,6.48826032999342,-3.29377573262291,26930,22.4298909739054,0.490030203907709
